group,session,a_bytes,b_ctx_tokens,n_assistant,c_user_turns,d_text_chars,d_tok_div4,d_tok_div2,e_user_chars,e_tok_div4,e_tok_div2
agent-ws,04321263-d1bb-44c3-8562-84d1c1f0db54,38186,36468,2,1,202,50,101,110,27,55
agent-ws,0cabfffb-3d00-4722-841a-8ff861589239,14952,0,0,1,130,32,65,130,32,65
agent-ws,256b3f6e-a83c-404c-bfdb-9f2ff635df10,23139,40658,1,1,11,2,5,9,2,4
agent-ws,2ea9860f-d859-462a-95ac-b80a230eb8c4,22569,0,0,1,130,32,65,130,32,65
agent-ws,393c439f-cb22-41db-b9e7-5dfd6e8ce34d,15417,0,0,0,0,0,0,0,0,0
agent-ws,4c91889f-5606-4f37-8c5e-5d4937575738,29429,40532,3,1,86,21,43,84,21,42
agent-ws,75a2a2b4-6a2b-4fa1-84a6-fc36bea9c166,29710,40592,3,1,54,13,27,52,13,26
agent-ws,9bde245a-cdc3-4db9-b959-594398b36d6b,205926,83149,17,5,2967,741,1483,205,51,102
agent-ws,bc383ac8-ccf3-4d07-89d3-f87beac02fc7,50101,37910,4,2,58,14,29,49,12,24
agent-ws,bf891709-d08f-4197-aa04-2b6ab0cce937,23139,38959,1,1,11,2,5,9,2,4
agent-ws,e54a0ced-edc1-4195-887d-4b99ffbb1f4a,54157,38238,5,1,1306,326,653,176,44,88
agent-ws,f0901e01-3a93-40b4-a687-ed634ae7e953,68864,38874,11,1,1918,479,959,464,116,232
workspace,02652afe-01a0-4e1f-99a0-783731057f8d,4353426,294736,515,8,10651,2662,5325,447,111,223
workspace,04a14c4b-4914-52c0-91be-2b0ad0fac5f2,2882414,544390,388,13,25189,6297,12594,5077,1269,2538
workspace,06787708-42e7-4919-9d7b-bef9216dea5a,1468175,268116,276,13,20538,5134,10269,1782,445,891
workspace,0703092c-b0c7-4bec-b51b-3b5491363c0a,1177736,208412,184,1,2623,655,1311,17,4,8
workspace,0726590f-1716-43c3-90a1-df19c65be9cf,3097228,517746,307,17,11226,2806,5613,443,110,221
workspace,077ed499-7953-52c9-91bb-b0127c2c1bb1,51998,45460,2,2,344,86,172,289,72,144
workspace,09963c71-6780-43e4-82f1-23aa5c9538ad,47367,48210,1,1,11,2,5,9,2,4
